Longitude,Latitude,UHI Index
-77.30169667,39.10924667,0.98970926
-77.30038167,39.11336167,0.97893023
-77.300285,39.10843333,0.9936703
-77.299315,39.10788,0.9874188
-77.2993,39.115225,0.9775629
-77.29857667,39.11649833,0.97665954
-77.29818667,39.16847,1.0109717
-77.298055,39.166535,1.0108248
-77.29798,39.16643167,1.0121566
-77.29793667,39.17146,1.0271353
-77.29792333,39.117495,0.977743
-77.29785167,39.17129667,1.0285965
-77.29781,39.16623167,1.0118619
-77.297805,39.17175333,1.0274689
-77.29772,39.16613833,1.0098902
-77.29757667,39.171865,1.0260881
-77.29729667,39.17206,1.0230258
-77.2972,39.16077167,0.9966669
-77.29710667,39.11821,0.9783549
-77.297,39.16379167,1.0103173
-77.29696333,39.17233833,1.0196657
-77.296885,39.12878833,0.98848844
-77.29687,39.10639,0.99267095
-77.29677333,39.16409,1.001157
-77.29673833,39.10631,0.9908121
-77.296675,39.16330667,1.0119821
-77.29662333,39.12991167,0.9964254
-77.29659333,39.16306667,1.0068669
-77.29656167,39.16197667,1.0024099
-77.29654333,39.15968833,0.9997053
-77.29652833,39.11880667,0.9824759
-77.29649167,39.15973833,1.0070331
-77.29644833,39.15989333,1.0046786
-77.29627,39.12627833,0.9854236
-77.29623667,39.13114833,0.9966949
-77.29621333,39.11905,0.9815108
-77.29612333,39.13141,0.9972614
-77.29611333,39.17306833,1.0112691
-77.29605333,39.12598333,0.9814569
-77.29600167,39.119225,0.9813956
-77.29600167,39.13166833,0.999033
-77.29598,39.15933333,0.99417835
-77.29571167,39.11955833,0.9834151
-77.29563167,39.11967333,0.98271316
-77.29552667,39.14018333,0.9631981
-77.29538833,39.132755,0.99868315
-77.29536667,39.12016833,0.9818489
-77.29531667,39.13288167,1.0007707
-77.29522,39.15911333,0.9968954
-77.29518,39.12410833,0.9645436
-77.295145,39.120805,0.98323715
-77.29511,39.13807667,0.9818045
-77.29486333,39.122005,0.9811782
-77.29485,39.17392667,1.0217165
-77.29484667,39.10514667,0.9957927
-77.29477667,39.13701833,0.9873263
-77.29471333,39.17395167,1.0175638
-77.29451,39.13600333,0.99697113
-77.294095,39.15959,0.98568296
-77.29407167,39.15972167,0.98658806
-77.29402,39.159975,0.9861061
-77.29388167,39.16039167,0.98850864
-77.29378667,39.16056667,0.98544294
-77.29366167,39.14317333,0.9349394
-77.29322333,39.16127833,0.98178726
-77.29300167,39.16155167,0.9893004
-77.292675,39.16150333,0.98524135
-77.29257667,39.144895,0.945279
-77.29242833,39.16093167,0.9839114
-77.29240667,39.16137667,0.9834118
-77.29237,39.15939167,0.9882157
-77.29224167,39.16120333,0.98482615
-77.29213167,39.15934833,0.9883127
-77.29192167,39.17356167,1.0068878
-77.29179333,39.17353333,1.0087645
-77.29134167,39.10306833,1.004187
-77.29074,39.15878333,0.98895395
-77.29073,39.1732,1.0032195
-77.29020667,39.15935167,0.990119
-77.29009333,39.14848833,0.9647226
-77.28995667,39.14873833,0.9650474
-77.28986,39.17273667,1.0063741
-77.28985167,39.18187,1.0124491
-77.28964,39.18267833,1.0149871
-77.28954,39.14963333,0.9681557
-77.28931167,39.17240667,1.0017122
-77.28931,39.16959167,0.9984066
-77.289255,39.169445,0.9983641
-77.28901167,39.17206,1.008795
-77.28885333,39.15124167,0.96585435
-77.288715,39.16108333,0.9948366
-77.28846667,39.15247,0.95808184
-77.28824833,39.15307333,0.963279
-77.28823667,39.10333,0.99079055
-77.28818333,39.16920833,0.99791145
-77.28803333,39.18373333,1.0251064
-77.28760667,39.18370833,1.0164026
-77.28738333,39.15412833,0.97600484
-77.287285,39.10356167,0.9928924
-77.28719667,39.16217,0.98696524
-77.286425,39.153745,0.9638735
-77.28626167,39.16260333,0.98989034
-77.28531,39.18344,1.0064869
-77.28527833,39.15355667,0.96183467
-77.28520333,39.15390667,0.95873207
-77.28519833,39.153845,0.9580278
-77.28512167,39.15415667,0.9578753
-77.284675,39.19555167,1.0068738
-77.28467333,39.19446333,1.0052892
-77.28401667,39.19703833,1.0097294
-77.28383,39.172985,1.01072
-77.28376667,39.10609833,0.9935398
-77.28374833,39.18669,0.99770826
-77.28369833,39.193665,1.0024722
-77.28367833,39.18634833,0.99979436
-77.28365833,39.170815,0.9999081
-77.28348833,39.16912833,0.9925592
-77.28339167,39.17011333,0.99201393
-77.28332333,39.106485,0.9953665
-77.283305,39.16920333,0.9958407
-77.28324333,39.169805,0.99233735
-77.28319667,39.16970833,0.9917393
-77.28313833,39.19740667,1.0089362
-77.28313,39.18563667,0.997593
-77.28288667,39.19743167,1.0111964
-77.28284167,39.17601167,1.0051143
-77.282835,39.16256667,0.9992311
-77.282765,39.10695,0.9969269
-77.282445,39.19025333,1.0150347
-77.28219667,39.16224833,0.9933049
-77.28198667,39.11299667,0.9849108
-77.28186333,39.19208667,0.99919784
-77.28178667,39.11269167,0.9875295
-77.28172333,39.19056667,1.0085759
-77.28149167,39.15409833,0.96217906
-77.28140333,39.15415167,0.9613746
-77.28139333,39.11371167,0.98752195
-77.28139333,39.19161167,1.0073916
-77.28132333,39.11379667,0.98685384
-77.28125,39.15425833,0.960942
-77.28117333,39.19699333,1.0033528
-77.28114833,39.19146667,1.005604
-77.28111667,39.154345,0.96132636
-77.28109167,39.19082667,1.0103897
-77.28105,39.1142,0.98079455
-77.28097667,39.15438667,0.96012217
-77.28093333,39.114655,0.98839265
-77.28093167,39.190935,1.0100529
-77.28084833,39.154345,0.9581836
-77.280755,39.19111833,1.0093957
-77.28071,39.11026667,0.9982737
-77.280635,39.11019333,0.9982238
-77.28059333,39.15418167,0.9561553
-77.28042667,39.15406667,0.956575
-77.28034167,39.19674167,1.0056912
-77.28028667,39.10920667,0.9884377
-77.28017667,39.15388833,0.95630884
-77.28000333,39.15378833,0.95603204
-77.279985,39.10982,1.0005555
-77.27983333,39.15371667,0.95592105
-77.279555,39.15366167,0.9554097
-77.27927167,39.15362833,0.95879155
-77.27925,39.19643167,1.0107723
-77.27898667,39.115405,0.9813237
-77.27868667,39.15351167,0.95919895
-77.27864167,39.115445,0.98111403
-77.278455,39.15344333,0.95826
-77.27836167,39.15346333,0.9543808
-77.278315,39.11343167,0.9885558
-77.27822333,39.11484833,0.988341
-77.27820167,39.11426167,0.987942
-77.278195,39.11180167,0.9932792
-77.27743833,39.19637333,1.0063196
-77.277365,39.155015,0.9611555
-77.27705667,39.1716,1.0073237
-77.27703,39.15548,0.9705079
-77.277015,39.171415,1.0071524
-77.276875,39.17133167,1.0061176
-77.27668167,39.17191833,0.9962297
-77.27665833,39.19983833,0.99545604
-77.27645333,39.15641167,0.9756305
-77.27638833,39.15652833,0.97506243
-77.27620833,39.19895833,0.9867047
-77.27584,39.15917167,1.0087105
-77.275595,39.15728667,0.96839625
-77.27556667,39.17062,1.0023903
-77.27550667,39.20180667,1.0068952
-77.27547333,39.15727333,0.97174114
-77.27541,39.159075,1.005334
-77.27536167,39.17284667,0.98449796
-77.27529167,39.19836667,0.97975016
-77.27523833,39.111985,0.99408835
-77.27523167,39.15917667,1.0073273
-77.27475833,39.16061667,1.0065045
-77.27466333,39.17012333,0.99184424
-77.27431667,39.15686,0.971858
-77.27431333,39.14578167,0.9681041
-77.27428667,39.16204167,0.9964844
-77.27422,39.19744333,0.98702914
-77.27420167,39.162315,1.0000664
-77.2741,39.196855,1.0027151
-77.273805,39.14644333,0.9518179
-77.27379,39.16362333,0.9843242
-77.27371667,39.16385,0.9842187
-77.27358667,39.156445,0.9717743
-77.27353667,39.20124,1.0074247
-77.27335333,39.16460333,0.9894534
-77.27323333,39.11249667,1.0051718
-77.27316333,39.20149833,1.01217
-77.27302167,39.169195,1.0015733
-77.27296333,39.20164333,1.0074966
-77.272935,39.16519167,0.98537666
-77.27289667,39.14401,0.96385896
-77.27282,39.155955,0.970606
-77.27262167,39.20187333,1.0125444
-77.27249333,39.165625,0.99862206
-77.27239333,39.202025,1.0129577
-77.27228667,39.175125,0.998653
-77.272125,39.15561667,0.9741952
-77.27196833,39.16869833,1.0028613
-77.271605,39.16821333,0.99968725
-77.27159,39.20167167,1.008229
-77.27156167,39.14252333,0.9669567
-77.27149167,39.147385,0.9563535
-77.27146667,39.20156333,1.0081476
-77.27137667,39.16785,1.0002717
-77.271275,39.16766833,0.9938223
-77.27117,39.14208833,0.966309
-77.27116333,39.20131667,1.011119
-77.27100333,39.167205,0.9890162
-77.27075833,39.16678833,0.9898673
-77.27066,39.15417167,0.96500397
-77.27059333,39.15410333,0.96537894
-77.27048833,39.18311,1.0061694
-77.27038,39.11302833,0.99299556
-77.27037333,39.14785833,0.9598439
-77.27030333,39.20061833,1.0075407
-77.27018667,39.11305833,1.0040474
-77.27014,39.11485833,0.99881184
-77.27010833,39.11491833,0.9951791
-77.27004833,39.11432333,0.99936557
-77.27004667,39.11308167,1.0062925
-77.27002167,39.200435,1.0058991
-77.27001333,39.11495,0.99405885
-77.26997833,39.17687167,1.000947
-77.26959167,39.14837,0.94937164
-77.26957,39.183485,1.0027372
-77.26945833,39.19985833,1.0026829
-77.26940333,39.14853667,0.9497207
-77.26933333,39.18354667,1.0106761
-77.26870667,39.11530833,0.9898147
-77.268465,39.17805167,1.0170094
-77.26839333,39.19820833,1.0130402
-77.26835167,39.17814167,1.0079365
-77.26832833,39.19717167,1.0138781
-77.26826667,39.15227333,0.94516504
-77.26811167,39.15241167,0.9438639
-77.267875,39.17848833,1.0106684
-77.26773833,39.08833667,1.0153657
-77.26769667,39.11599167,0.9910712
-77.26765167,39.18402167,1.0035224
-77.26758833,39.17918,1.0175997
-77.26754,39.179115,1.0175484
-77.26749667,39.17874167,1.0193657
-77.26749333,39.17905,1.0177126
-77.26741,39.11622333,0.9915321
-77.26732667,39.09108167,1.0054269
-77.267155,39.09139667,1.0143481
-77.26714833,39.11654667,0.9896999
-77.26712,39.138485,0.9444859
-77.26704667,39.11671333,0.9923919
-77.26680833,39.18439833,0.99883753
-77.266605,39.09262,1.0173477
-77.266245,39.18475167,1.0091387
-77.26620833,39.09433333,1.022778
-77.2661,39.09480833,1.018036
-77.26609333,39.184685,1.0068971
-77.265985,39.09525,1.0193537
-77.26598,39.19364833,1.0266036
-77.265805,39.08475667,1.0041305
-77.26578333,39.19073333,1.0257429
-77.265565,39.22780833,0.9858859
